screen,legacy_route,current_route,legacy_field_count,current_field_count,matched_fields,field_match_percent,legacy_option_count,current_option_count,matched_options,option_match_percent,missing_fields_sample,missing_options_sample,error
"Add Guard","/guard/create","/guards/new","61","125","61","100","34","40","34","100","","",""
"Search Guard","/guard/search","/guards/search","25","55","25","100","325","40","33","10.2","","United Bank Limited | MCB Bank Ltd | Faysal Bank Limited | Summit Bank Limited | Meezan Bank Limited | Bank Al Habib Limited | Samba Bank Limited | Habib Bank Limited | Crystalline Chemicals Industries Pvt Ltd | Parsi Grave Yard | FGA of Pakistan | Ghalib Assocoates | Saudi Pak BA Rajpot | AM Gill Pvt Ltd | Trans Fab | Mr Atif Murad | 21 5 Cantt Lahore Qalnadr | 239 FF DHA | Mr Basit Rehman Malik | HOUSE#96 U, PHASE III, DHA | UDL | Associate House | KKT Hospital | KKT HOSPITAL JOHAR TOWN | Allied Bank Limited",""
"Export Guard","/searchByDataTable","/guards/export","9","25","9","100","116","32","25","21.6","","AZHAR ALI KHI Z II | Baiq Khan | Bilal Ahmad | EHSAAN AHMED Khi Zone I | FAREED Ahmad fsld | Fateh Ali Lillah | Fazal Ahmad | Fazal Mehdi | Ghulam Ahmad Rabbani | grw M Arshad | Hafeezullah gwa | Hafiz Ullah MT | Haider Ali | Ijaz Ahmad MT | IKHLAQ HUSSAIN KHI IS Z II | IMDAD ALI Khi Zone III | Imtiaz Hussain | IRFAN MEHMOOD Khi Zone III | Irshad Ullah | Ishaq Ahmed | Jameel Altaf FSD | Javeed Akhter | KHALID MEHMOOD | LUTAF ALI Khi Zone II | MANSOOR AHMED KHI Z III",""
"Prerequisites","/guard/mergedOptions","/guards/prerequisites","1","13","1","100","0","2","0","100","","",""
"Black Listed Guards","/guard/blackListedGuards","/guards/blacklist","3","8","3","100","4","3","0","0","","10 rows | 25 rows | 50 rows | 100 rows",""
"Inactive Guards","/guard/softDeletedGuardList","/guards/inactive","3","3","3","100","5","1","0","0","","10 | 25 | 50 | 100 | 200",""
"Deploy Guards","/guard/GuardDeployment","/guards/deploy","26","44","26","100","201","27","13","6.5","","head office lahore | islamabad | quetta | peshawar | karachi | multan | sahiwal | gujranwala | faisalabad | sub office kasur | sub office sheikhupura | test office | hyderabad | sukkur | qadir pur ghotki | jand | National Bank of Pakistan | Standard Chartered Bank Limited Pakistan | United Bank Limited | MCB Bank Ltd | Faysal Bank Limited | Summit Bank Limited | Meezan Bank Limited | Bank Al Habib Limited | Samba Bank Limited",""
"Deployment Rate","/guard/GuardDeploymentRate","/guards/deployments-rate","10","28","10","100","199","22","16","8","","head office lahore | islamabad | quetta | peshawar | karachi | multan | sahiwal | gujranwala | faisalabad | sub office kasur | sub office sheikhupura | test office | hyderabad | sukkur | qadir pur ghotki | jand | National Bank of Pakistan | Standard Chartered Bank Limited Pakistan | United Bank Limited | MCB Bank Ltd | Faysal Bank Limited | Summit Bank Limited | Meezan Bank Limited | Bank Al Habib Limited | Samba Bank Limited",""
"Guard Attendance","/guard/attendance","/guards/attendance","3","13","3","100","0","8","0","100","","",""
"Client Attendance","/guard/clientAttendance","/guards/client-attendance","5","11","5","100","18","7","2","11.1","","head office lahore | islamabad | quetta | peshawar | karachi | multan | sahiwal | gujranwala | faisalabad | sub office kasur | sub office sheikhupura | test office | hyderabad | sukkur | qadir pur ghotki | jand",""
"Residences","/guard/residences","/guards/residences","6","10","6","100","69","3","0","0","","10 | 25 | 50 | 100 | ahtisham | Akhtar Mehmood FSD | ALI MADAD KHI Z III | ALLAH YAR KHI Z III | Altaf Hussain LHR | Arshad Mehmood ICT | AYUB HUSSAIN KHI Z II | AZHAR ALI KHI Z II | Bilal Ahmad | FAREED Ahmad fsld | Fazal Ahmad | Fazal Mehdi | grw M Arshad | Hafeezullah gwa | Haider Ali | Ijaz Ahmad MT | IKHLAQ HUSSAIN KHI IS Z II | Imtiaz Hussain | Irshad Ullah | Ishaq Ahmed | Javeed Akhter",""
"Assign Residence","/guard/residences/assign","/guards/assign-residence","9","17","9","100","66","4","0","0","","--Select Supervisor-- | ahtisham | Akhtar Mehmood FSD | ALI MADAD KHI Z III | ALLAH YAR KHI Z III | Altaf Hussain LHR | Arshad Mehmood ICT | AYUB HUSSAIN KHI Z II | AZHAR ALI KHI Z II | Bilal Ahmad | FAREED Ahmad fsld | Fazal Ahmad | Fazal Mehdi | grw M Arshad | Hafeezullah gwa | Haider Ali | Ijaz Ahmad MT | IKHLAQ HUSSAIN KHI IS Z II | Imtiaz Hussain | Irshad Ullah | Ishaq Ahmed | Javeed Akhter | KHALID MEHMOOD | MANSOOR AHMED KHI Z III | MANTHAR ALI KHI IS Z I",""
"Onjob Trainings","/guard/onjob-trainings","/guards/trainings","10","32","10","100","174","14","7","4","","head office lahore | National Bank of Pakistan | Standard Chartered Bank Limited Pakistan | United Bank Limited | MCB Bank Ltd | Faysal Bank Limited | Summit Bank Limited | Meezan Bank Limited | Bank Al Habib Limited | Samba Bank Limited | Habib Bank Limited | Crystalline Chemicals Industries Pvt Ltd | Parsi Grave Yard | FGA of Pakistan | Ghalib Assocoates | Saudi Pak BA Rajpot | AM Gill Pvt Ltd | Trans Fab | Mr Atif Murad | 21 5 Cantt Lahore Qalnadr | 239 FF DHA | Mr Basit Rehman Malik | HOUSE#96 U, PHASE III, DHA | UDL | Associate House",""
"Add Client","/client/create","/clients/new","33","72","33","100","332","50","40","12","","Darya Khan | Dera Ghazi Khan | Derawar Fort | Dhaular | Dina City | Dinga | Dipalpur | Fateh Jang | Gadar | Ghakhar Mandi | Gujrat | Gujar Khan | Hafizabad | Haroonabad | Hasilpur | Haveli Lakha | Jampur | Jhang | Jhelum | Kalabagh | Karor Lal Esan | Kasur | Kamalia | Kamokey | Kharian",""
"Search Client","/client/searchResult","/clients/search","6","11","6","100","312","37","35","11.2","","Darya Khan | Dera Ghazi Khan | Derawar Fort | Dhaular | Dina City | Dinga | Dipalpur | Fateh Jang | Gadar | Ghakhar Mandi | Gujrat | Gujar Khan | Hafizabad | Haroonabad | Hasilpur | Haveli Lakha | Jampur | Jhang | Jhelum | Kalabagh | Karor Lal Esan | Kasur | Kamalia | Kamokey | Kharian",""
"Search Client V2","/client/v2/search","/clients/search-v2","6","11","6","100","311","37","35","11.3","","Darya Khan | Dera Ghazi Khan | Derawar Fort | Dhaular | Dina City | Dinga | Dipalpur | Fateh Jang | Gadar | Ghakhar Mandi | Gujrat | Gujar Khan | Hafizabad | Haroonabad | Hasilpur | Haveli Lakha | Jampur | Jhang | Jhelum | Kalabagh | Karor Lal Esan | Kasur | Kamalia | Kamokey | Kharian",""
"Types & Locations","/client/typeList","/clients/types-locations","0","5","0","100","0","1","0","100","","",""
"Black Listed Clients","/client/blackListedClients","/clients/blacklist","1","4","1","100","0","1","0","100","","",""
