screen,current_route,legacy_fields,current_fields,matched,match_percent,status,missing_sample
"Add Guard","/guards/new","20","239","20","100","PASS",""
"Search Guard","/guards/search","20","135","19","95","PASS","Over Staying"
"Export Guard","/guards/export","9","52","9","100","PASS",""
"Prerequisites","/guards/prerequisites","0","57","0","100","PASS",""
"Black Listed Guards","/guards/blacklist","1","54","1","100","PASS",""
"Inactive Guards","/guards/inactive","3","38","3","100","PASS",""
"Deploy Guards","/guards/deploy","20","106","18","90","PASS","Region | Select Client"
"Deployment Rate","/guards/deployments-rate","13","78","13","100","PASS",""
"Guard Attendance","/guards/attendance","3","53","3","100","PASS",""
"Client Attendance","/guards/client-attendance","5","44","5","100","PASS",""
"Residences","/guards/residences","6","63","6","100","PASS",""
"Assign Residence","/guards/assign-residence","9","45","9","100","PASS",""
"On Job Trainings","/guards/trainings","10","48","10","100","PASS",""
