title,legacy_route,mapped_current_route,legacy_fields,current_fields,matched_fields,match_percent,status,missing_sample
"Dashboard","/map","/dashboard","0","0","0","100","NO_FIELDS",""
"Add Guard Screen (FORMS)","/guard/create","/guards/new","20","64","1","5","LOW","Select All | NADRA Verification | Health Certificate Verification | Police Verification | Eyesight Certificate | character verification | mental health check | 3rd gurantor verysis | Company card & CNIC | Parwest ID* | Full Name * | FATHER'S NAME * | MOTHER'S NAME * | Date of Birth * | Age | CNIC # (FORMAT: xxxxx-xxxxxxx-x) * | CNIC Issue Date * | CNIC Expiry Date * | Contact # (Format: +92-300-1234567) *"
"Search Guard Screen","/guard/search","/guards/search","20","22","15","75","MATCHED","Supervisor | Ex Service | Created From | Created To | Over Staying"
"Guard Profile Screen (from Search Guard)","/guard/show/31367","","0","0","0","100","MISSING_ROUTE",""
"Prerequisites Selection and Activation (Super Admin)","/guard/mergedOptions","/guards/prerequisites","0","5","0","100","NO_FIELDS",""
"Export Guards to Excel","/searchByDataTable","/guards/export","9","1","0","0","LOW","Parwest ID | Name | CNIC# | Select Status | Ex Service | Supervisor | Verification Status | Search: | Select Date"
"Black Listed Guards","/guard/blackListedGuards","/guards/blacklist","1","6","1","100","MATCHED",""
"Inactive Guards","/guard/softDeletedGuardList","/guards/inactive","3","3","3","100","MATCHED",""
"Deploy Guard Screen","/guard/GuardDeployment","/guards/deploy","20","22","14","70","MATCHED","Region | Select Client | Guard's Name | Guard's Designations | Day | Night"
"Deployment Rates Setting","/guard/GuardDeploymentRate","/guards/deployments-rate","13","14","9","69.2","PARTIAL","Guard's Type | Day | Night | Both"
"Guard Attendance","/guard/attendance","/guards/attendance","3","9","3","100","MATCHED",""
"Client Attendance","/guard/clientAttendance","/guards/client-attendance","5","5","5","100","MATCHED",""
"Guard Residencies List","/guard/residences","/guards/residences","6","10","5","83.3","MATCHED","Select Supervisor"
"Assign Residency to Guard","/guard/residences/assign","/guards/assign-residence","9","14","9","100","MATCHED",""
"Guard Training Module (Onjob Trainings)","/guard/onjob-trainings","/guards/trainings","10","17","8","80","MATCHED","Yes | No"
"Add New Client Screen","/client/create","/clients/new","19","47","17","89.5","MATCHED","Client's Name * | Client Type"
"Search Client Screen","/client/searchResult","/clients/search","6","0","0","0","LOW","Name | Select Client Type | Select City | Show 102550100200 entries | Search: | Select Date"
"Search Client Screen V2","/client/v2/search","/clients/search-v2","6","0","0","0","LOW","Name | Select Client Type | Select City | Show 102550100 entries per page | Search: | Select Date"
"Client Profile Screen","/client/show/327","","74","0","0","0","MISSING_ROUTE","Upload Picture | Select Supervisor | Select Manager | Select Date | Show 102550100 entries per page | Search: | Branch* | Start Date | End Date | Show 102550100200 entries | Document Name | Parwest | Provinces * | Cities * | Branches * | Invoice Month * | Name | Tax Percentage | Name Of Branch * | Branch Code | Latitude * | Longitude * | Select Regional Office | Select City | Day CPO's Required* | Night CPO's Required* | Day SO Capacity* | Night SO Capacity* | Day ASO Capacity* | Night ASO Capacity*"
"Client Profile Screen V2","/client/v2/show/327","","69","0","0","0","MISSING_ROUTE","Upload Picture | Select Supervisor | Select Manager | Select Date | Show 102550100 entries per page | Search: | Branch | Start Date | End Date | Name Of Branch * | Branch Code | Latitude * | Longitude * | Select Regional Office | Select Branch City | CPO's Required* | Night CPO's Required* | Day Supervisors Required* | Night Supervisors Required* | Day Guards * | Night Guards* | Guard Capacity Change Date* | Day SO Capacity* | Night SO Capacity* | Day ASO Capacity* | Night ASO Capacity* | Day LSO Capacity* | Night LSO Capacity* | Day CCTV Operators* | Night CCTV Operators*"
"Client Types and Locations","/client/typeList","/clients/types-locations","0","0","0","100","NO_FIELDS",""
"Black Listed Clients","/client/blackListedClients","/clients/blacklist","1","0","0","0","LOW","Email"
"Export Clients/Branches","/client/exportClientBranches","/clients/export-branches","2","0","0","0","LOW","Select Manager | Select Client"
"Client Invoice Pre-requisites","/client/invoicePrerequisites","/clients/invoice-prerequisites","15","0","0","0","LOW","Select Province | Select City | Select Guard Type | Show 102550100200 entries | Search: | Client Province | Client Cities | Guard Types | Effective Rate | Enqueue | Edit Rate | Name | Province | ID | Province Name"
"Invoiced Billing Screen of Clients","/client/invoicedBillings","/clients/invoiced-billings","10","0","0","0","LOW","Select Client | Select Branch | Select Invoice Month | Select Invoices From | Select Invoices To | Invoice Due Date | Select Invoice Status | Show 102550100200 entries | Search: | Add Payment"
