module,legacy_route,mapped_current_route,legacy_fields,current_fields,matched_fields,match_percent,status,missing_sample
"Audit","/audit/auditSearch","","0","0","0","100","MISSING_ROUTE",""
"Imports","/bulkImport/clients/addBranches","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/clients/addClients","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addBankDetailsBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addEmploymentHistoryBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addFamilyBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addJudicialCasesBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addLoanDetailsBulkImport","","2","0","0","0","MISSING_ROUTE","Month of Deployment | file"
"Imports","/bulkImport/guards/addNearestRelativeBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addPledgedDocumentBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/addVerificationsBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/guards/markAttendanceBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/inventory/inventoryBulkAssignPage","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/inventory/inventoryBulkImportPage","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/inventory/inventoryBulkUpdatePage","","1","0","0","0","MISSING_ROUTE","file"
"Imports","/bulkImport/users/addUserBulkImport","","1","0","0","0","MISSING_ROUTE","file"
"Clients","/client/blackListedClients","/clients/blacklist","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/clientInsuranceSettings","","0","0","0","100","MISSING_ROUTE",""
"Clients","/client/create","/clients/new","0","51","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/exportClientBranches","/clients/export-branches","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/invoicePrerequisites","/clients/invoice-prerequisites","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/invoicedBillings","/clients/invoiced-billings","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/searchResult","/clients/search","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/typeList","/clients/types-locations","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Clients","/client/v2/search","/clients/search-v2","0","0","0","100","NO_LEGACY_FIELDS_DETECTED",""
"Guards","/guard/GuardDeployment","/guards/deploy","33","14","9","27.3","LOW_COVERAGE","check_deploy | region_id_on_user_profile | client_id_on_user_profile | branch_id_on_user_profile | Deploy as | Select Guard | Guard's Name | Guard's Designations | Guard's Type | Deployment Date | Guard Deployment Status* | shift | isExtra | currentDayNight | currentRegularOvertime | currentDeploymentStartDate | Add Comment | branch_id | guard_id | client_id | shift_day | shift_night | regular | del"
"Guards","/guard/GuardDeploymentRate","/guards/deployments-rate","10","14","5","50","PARTIAL","region_id_on_user_profile | client_id_on_user_profile | branch_id_on_user_profile | deployGuardAsDesignation[] | exService"
