module,legacy_route,mapped_current_route,replicated
"Audit","/audit/auditSearch","","NO"
"Imports","/bulkImport/clients/addBranches","","NO"
"Imports","/bulkImport/clients/addClients","","NO"
"Imports","/bulkImport/guards/addBankDetailsBulkImport","","NO"
"Imports","/bulkImport/guards/addEmploymentHistoryBulkImport","","NO"
"Imports","/bulkImport/guards/addFamilyBulkImport","","NO"
"Imports","/bulkImport/guards/addJudicialCasesBulkImport","","NO"
"Imports","/bulkImport/guards/addLoanDetailsBulkImport","","NO"
"Imports","/bulkImport/guards/addNearestRelativeBulkImport","","NO"
"Imports","/bulkImport/guards/addPledgedDocumentBulkImport","","NO"
"Imports","/bulkImport/guards/addVerificationsBulkImport","","NO"
"Imports","/bulkImport/guards/markAttendanceBulkImport","","NO"
"Imports","/bulkImport/inventory/inventoryBulkAssignPage","","NO"
"Imports","/bulkImport/inventory/inventoryBulkImportPage","","NO"
"Imports","/bulkImport/inventory/inventoryBulkUpdatePage","","NO"
"Imports","/bulkImport/users/addUserBulkImport","","NO"
"Clients","/client/blackListedClients","/clients/blacklist","YES"
"Clients","/client/clientInsuranceSettings","","NO"
"Clients","/client/create","/clients/new","YES"
"Clients","/client/exportClientBranches","/clients/export-branches","YES"
"Clients","/client/invoicePrerequisites","/clients/invoice-prerequisites","YES"
"Clients","/client/invoicedBillings","/clients/invoiced-billings","YES"
"Clients","/client/searchResult","/clients/search","YES"
"Clients","/client/typeList","/clients/types-locations","YES"
"Clients","/client/v2/search","/clients/search-v2","YES"
"Guards","/guard/GuardDeployment","/guards/deploy","YES"
"Guards","/guard/GuardDeploymentRate","/guards/deployments-rate","YES"
"Guards","/guard/acceptedRejectedByCol","","NO"
"Guards","/guard/accountBulkExportUnpaid","/payroll/reports","YES"
"Guards","/guard/accountClearance","/payroll/operations/clearance","YES"
"Guards","/guard/accountClearanceExport","/payroll/reports","YES"
"Guards","/guard/accountLoan","/payroll/operations/loan","YES"
"Guards","/guard/accountSalary","/payroll/operations/salary-v2","YES"
"Guards","/guard/accountSalaryExport","/payroll/reports","YES"
"Guards","/guard/accountSalaryExportUnpaid","/payroll/reports","YES"
"Guards","/guard/accountUnPaid","/payroll/operations/unpaid-salaries","YES"
"Guards","/guard/attendance","/guards/attendance","YES"
"Guards","/guard/blackListedGuards","/guards/blacklist","YES"
"Guards","/guard/bulk-salary-slip","/payroll/operations/bulk-salary-slips","YES"
"Guards","/guard/clientAttendance","/guards/client-attendance","YES"
"Guards","/guard/create","/guards/new","YES"
"Guards","/guard/guardAgeLimitForm","/payroll/settings","YES"
"Guards","/guard/guardBankNames","/settings/guard-bank-names","YES"
"Guards","/guard/guardMentalHealthForm","/payroll/settings","YES"
"Guards","/guard/guardPledgeableDocumentTypeList","/settings/guard-pledgeable-documents","YES"
"Guards","/guard/mergedOptions","","NO"
"Guards","/guard/monthInitialise","/payroll/settings","YES"
"Guards","/guard/onjob-training-intervals","","NO"
"Guards","/guard/onjob-trainings","/guards/trainings","YES"
"Guards","/guard/onjob-trainings-v2","/guards/trainings","YES"
"Guards","/guard/payrollDefaults","/payroll/settings","YES"
"Guards","/guard/payrollExtraHours","/payroll/operations/extra-hours","YES"
"Guards","/guard/payrollHolidays","/payroll/operations/holidays","YES"
"Guards","/guard/payrollOtherDeductions","/payroll/operations/other-deductions","YES"
"Guards","/guard/payrollSpecialDuty","/payroll/operations/special-duty","YES"
"Guards","/guard/regionalOffices","/settings/offices","YES"
"Guards","/guard/residences","/guards/residences","YES"
"Guards","/guard/residences/assign","/guards/assign-residence","YES"
"Guards","/guard/salarySummary","/payroll/reports","YES"
"Guards","/guard/search","/guards/search","YES"
"Guards","/guard/softDeletedGuardList","/guards/inactive","YES"
"Guards","/guard/status-update","","NO"
"Inventory","/inventory/assignProductFormNew","/inventory/assign-item","YES"
"Inventory","/inventory/categoryList","/inventory/categories","YES"
"Inventory","/inventory/condemnedItems","/inventory/condemned","YES"
"Inventory","/inventory/conditionList","/inventory/conditions","YES"
"Inventory","/inventory/createProduct","/inventory/stock-in","YES"
"Inventory","/inventory/dashboard","/inventory","YES"
"Inventory","/inventory/demandInventoryForm","/inventory/demand","YES"
"Inventory","/inventory/inventory-report","","NO"
"Inventory","/inventory/searchCustom","/inventory/search","YES"
"Inventory","/inventory/vendorList","/inventory/vendors","YES"
"Dashboard","/map","/dashboard","YES"
"Settings/System","/prerequisites","/guards/prerequisites","YES"
"Settings/System","/regions","/settings/regions","YES"
"Reports","/reports/client-branch-deactive-report","","NO"
"Reports","/reports/client-summary","","NO"
"Reports","/reports/clientEnrolledreports","","NO"
